1,0.000,0.0,0.000
51,28.684,150.0,1.430
101,56.744,270.0,2.800
151,84.790,324.0,4.190
201,112.846,374.0,5.610
251,140.896,426.0,7.030
301,168.944,448.0,8.350
351,196.999,514.0,9.810
401,225.052,534.0,11.140
451,253.115,584.0,12.580
501,281.170,616.0,13.920
551,309.220,636.0,15.300
601,337.265,676.0,16.760
651,365.318,684.0,18.090
701,393.370,708.0,19.520
751,421.419,710.0,20.880
801,449.479,708.0,22.250
851,477.537,712.0,23.600
901,505.595,738.0,25.020
951,533.659,782.0,26.480
1001,561.717,772.0,27.790
1051,589.789,842.0,29.180
1101,617.855,896.0,30.560
1151,645.917,1014.0,32.030
1201,673.964,1094.0,33.340
1251,702.019,1206.0,34.720
1301,730.078,1430.0,36.180
1351,758.136,1620.0,37.530
1401,786.181,1904.0,38.940
1451,814.231,2356.0,40.310
1501,842.269,2958.0,41.680
1551,870.307,4132.0,43.080
1601,898.334,6210.0,44.490
1651,926.362,10630.0,45.880
1701,954.386,19114.0,47.230
1751,982.600,16736.0,47.330
1801,1010.673,16060.0,47.330
